City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
324,Nuevo Progreso,MX,23.1667,-97.95,73.47,81,54,1.99,broken clouds
325,Zharkent,KZ,44.1628,80.0,84.42,9,19,8.93,few clouds
326,Dunedin,NZ,-45.8742,170.5036,55.8,73,100,4.43,overcast clouds
327,Port Hawkesbury,CA,45.6169,-61.3485,39.18,87,30,10.0,scattered clouds
328,Yashkino,RU,55.8736,85.4265,43.09,56,100,6.91,overcast clouds
329,Zeerust,ZA,-25.5369,26.0751,72.46,36,4,9.24,clear sky
330,Olafsvik,IS,64.8945,-23.7142,41.34,71,65,5.26,broken clouds
331,Morondava,MG,-20.2833,44.2833,85.48,69,2,9.62,clear sky
332,Brae,GB,60.3964,-1.353,48.29,85,46,21.3,scattered clouds
333,Teruel,ES,40.6667,-0.6667,59.49,45,75,3.51,broken clouds
334,Bandarbeyla,SO,9.4942,50.8122,88.29,58,7,14.67,clear sky
335,Itaituba,BR,-4.2761,-55.9836,72.99,100,100,1.52,overcast clouds
336,Adria,IT,45.0564,12.0578,63.14,44,16,8.28,few clouds
337,Saint-Augustin,CA,51.226,-58.6502,33.22,88,99,18.57,overcast clouds
338,Skala Fourkas,GR,39.9998,23.3841,51.55,63,100,13.76,overcast clouds
339,Anadyr,RU,64.75,177.4833,32.49,92,100,12.62,light snow
340,Chernyshevskiy,RU,63.0128,112.4714,23.31,92,100,12.33,light snow
341,Pahrump,US,36.2083,-115.9839,65.77,15,83,8.14,broken clouds
342,Springbok,ZA,-29.6643,17.8865,80.76,17,0,12.71,clear sky
343,Cayenne,GF,4.9333,-52.3333,82.09,1,75,7.0,broken clouds
344,Graaff-Reinet,ZA,-32.2522,24.5308,69.93,53,39,4.68,scattered clouds
345,Tymovskoye,RU,50.8456,142.655,24.73,95,64,0.92,broken clouds
