City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
182,Barmer,IN,2022-04-18 04:22:30,25.75,71.3833,90.64,30,20,14.56
183,Jeremie,HT,2022-04-18 04:23:30,18.65,-74.1167,76.64,81,88,7.38
184,Thinadhoo,MV,2022-04-18 04:23:31,0.5333,72.9333,83.73,72,85,9.89
185,Puno,PE,2022-04-18 04:23:31,-15.8333,-70.0333,40.01,39,20,4.14
186,Russell,US,2022-04-18 04:23:31,32.3502,-85.1999,65.48,97,75,3.44
187,Kaitangata,NZ,2022-04-18 04:23:32,-46.2817,169.8464,58.05,62,16,3.89
188,Sampit,ID,2022-04-18 04:23:32,-2.5333,112.95,93.45,50,99,2.28
189,Narsaq,GL,2022-04-18 04:23:32,60.9167,-46.05,32.22,90,40,1.61
190,Hobyo,SO,2022-04-18 04:23:33,5.3505,48.5268,83.88,73,100,10.87
191,Moree,AU,2022-04-18 04:23:33,-29.4667,149.85,82.42,36,8,6.91
192,Dawson Creek,CA,2022-04-18 04:23:33,55.7666,-120.2362,22.64,80,100,8.05
193,Caravelas,BR,2022-04-18 04:23:33,-17.7125,-39.2481,76.3,67,78,9.95
194,Killam,CA,2022-04-18 04:23:34,52.7834,-111.8518,30.69,70,19,3.78
195,Sorland,NO,2022-04-18 04:22:15,67.667,12.6934,42.01,96,100,18.3
196,Kailua,US,2022-04-18 04:23:34,21.4022,-157.7394,78.78,84,22,7.0
197,Sonkovo,RU,2022-04-18 04:23:35,57.7782,37.1571,33.08,70,38,2.51
198,Valparaiso,CL,2022-04-18 04:23:35,-33.0393,-71.6273,55.47,78,100,1.14
199,Mazatlan,MX,2022-04-18 04:23:35,23.2167,-106.4167,72.91,82,20,1.01
200,Ballina,AU,2022-04-18 04:23:36,-28.8667,153.5667,77.18,66,47,6.91
201,Blagoyevo,RU,2022-04-18 04:23:36,63.3667,47.9167,32.81,97,100,2.48
202,Anna Paulowna,NL,2022-04-18 04:23:36,52.862,4.834,48.22,69,1,11.99
203,Port Elizabeth,ZA,2022-04-18 04:20:18,-33.918,25.5701,62.1,96,20,5.75
204,Pottsville,US,2022-04-18 04:21:28,40.6857,-76.1955,36.03,74,2,3.89
205,Ust-Kuyga,RU,2022-04-18 04:23:37,70.0167,135.6,24.91,75,6,6.96
206,Portland,US,2022-04-18 04:22:16,45.5234,-122.6762,54.18,57,100,5.75
207,Beysehir,TR,2022-04-18 04:23:37,37.6773,31.7246,58.95,39,1,21.34
208,Saint-Philippe,RE,2022-04-18 04:23:37,-21.3585,55.7679,78.39,88,24,11.01
209,Patan,NP,2022-04-18 04:23:38,27.6667,85.3333,77.38,29,20,3.44
210,San Quintin,MX,2022-04-18 04:23:38,30.4833,-115.95,59.07,87,3,15.03
211,Sao Geraldo Do Araguaia,BR,2022-04-18 04:23:38,-6.4006,-48.555,73.2,97,100,0.94
212,Victoria,HK,2022-04-18 04:23:39,22.2855,114.1577,74.32,75,95,5.01
213,Airai,TL,2022-04-18 04:23:39,-8.9266,125.4092,72.61,71,100,1.63
214,Haukipudas,FI,2022-04-18 04:23:39,65.1765,25.3523,32.14,93,83,3.62
215,Awbari,LY,2022-04-18 04:23:40,26.5921,12.7805,59.07,40,0,5.99
216,Impfondo,CG,2022-04-18 04:23:40,1.6381,18.0667,71.76,97,89,2.62
217,Parit Buntar,MY,2022-04-18 04:23:40,5.1267,100.4932,91.38,73,96,1.54
218,Port Keats,AU,2022-04-18 04:23:41,-14.25,129.55,90.36,54,15,7.36
219,Esmeraldas,BR,2022-04-18 04:21:40,-19.7625,-44.3139,65.26,81,98,4.41
220,Punta Alta,AR,2022-04-18 04:23:41,-38.8759,-62.0736,59.63,75,23,10.02
221,Roald,NO,2022-04-18 04:23:41,62.5833,6.1333,44.76,93,0,3.44
222,Rabat,MA,2022-04-18 04:23:41,33.9911,-6.8401,62.04,98,100,0.0
223,Namatanai,PG,2022-04-18 04:23:42,-3.6667,152.4333,86.05,62,92,10.47
224,Yulara,AU,2022-04-18 04:23:33,-25.2406,130.9889,82.24,24,8,9.22
225,Inta,RU,2022-04-18 04:23:42,66.0317,60.1659,30.09,92,100,17.22
226,Asau,RO,2022-04-18 04:23:42,46.4333,26.4,29.32,81,47,4.5
227,Katsuura,JP,2022-04-18 04:23:43,35.1333,140.3,62.62,71,100,11.32
228,Port Hedland,AU,2022-04-18 04:23:43,-20.3167,118.5667,98.65,18,13,19.57
229,Bengkulu,ID,2022-04-18 04:23:43,-3.8004,102.2655,83.25,77,76,5.48
230,Grand Gaube,MU,2022-04-18 04:24:44,-20.0064,57.6608,79.38,89,14,1.99
231,Manadhoo,MV,2022-04-18 04:24:44,5.7667,73.3833,83.79,75,90,9.06
232,Longyearbyen,SJ,2022-04-18 04:22:52,78.2186,15.6401,21.04,86,100,0.0
233,Nnewi,NG,2022-04-18 04:24:44,6.0199,6.9148,74.5,93,100,1.01
234,Oranjestad,AW,2022-04-18 04:23:03,12.524,-70.027,78.66,87,100,24.76
235,Vieste,IT,2022-04-18 04:24:45,41.8825,16.175,52.68,60,100,18.1
236,Evansville,US,2022-04-18 04:24:25,37.9748,-87.5558,45.18,80,100,3.44
237,Ulladulla,AU,2022-04-18 04:24:45,-35.35,150.4667,81.5,49,100,2.24
238,Toyooka,JP,2022-04-18 04:24:45,35.5333,134.8333,66.25,48,75,9.22
239,Bandarbeyla,SO,2022-04-18 04:24:46,9.4942,50.8122,82.53,76,17,9.22
240,Cockburn Town,TC,2022-04-18 04:24:46,21.4612,-71.1419,77.81,84,86,23.69
241,Belmonte,BR,2022-04-18 04:24:46,-15.8631,-38.8828,76.19,79,100,12.03
242,Jacareacanga,BR,2022-04-18 04:24:47,-6.2222,-57.7528,72.84,99,100,2.75
243,Vardo,NO,2022-04-18 04:24:47,70.3705,31.1107,39.6,91,100,10.71
244,Sestri Levante,IT,2022-04-18 04:24:47,44.2732,9.3968,55.31,54,0,6.13
245,Shelburne,CA,2022-04-18 04:23:37,44.0787,-80.2041,28.36,68,4,3.44
246,Codrington,AU,2022-04-18 04:23:33,-38.2667,141.9667,59.38,71,100,9.91
247,Prado,BR,2022-04-18 04:24:48,-17.3411,-39.2208,74.7,77,94,9.57
248,Beyneu,KZ,2022-04-18 04:23:04,45.3167,55.2,64.99,32,0,6.04
249,Gat,IL,2022-04-18 04:24:48,31.61,34.7642,84.81,12,38,21.56
250,Pilas,ES,2022-04-18 04:24:48,37.3034,-6.301,64.36,60,89,2.68
251,Nevesinje,BA,2022-04-18 04:23:03,43.2586,18.1133,40.06,77,99,13.13
252,San Jeronimo,PE,2022-04-18 04:24:49,-11.9472,-75.2829,45.81,87,45,2.71
253,Barbosa Ferraz,BR,2022-04-18 04:24:49,-24.03,-52.0117,56.62,86,41,2.89
254,Voznesenye,RU,2022-04-18 04:24:49,61.0106,35.4781,33.46,98,100,6.62
255,Mount Gambier,AU,2022-04-18 04:24:50,-37.8333,140.7667,57.11,82,100,14.97
256,Barrow,US,2022-04-18 04:20:48,71.2906,-156.7887,6.82,78,0,10.36
257,Zionsville,US,2022-04-18 04:24:17,39.9509,-86.2619,46.38,56,40,8.05
258,Te Anau,NZ,2022-04-18 04:24:50,-45.4167,167.7167,62.64,58,52,4.5
259,Buturlinovka,RU,2022-04-18 04:24:51,50.8239,40.6092,51.42,84,100,7.25
260,Labrea,BR,2022-04-18 04:24:51,-7.2586,-64.7981,73.29,98,100,0.67
261,San Gabriel,US,2022-04-18 04:24:51,34.0961,-118.1058,66.65,71,0,0.0
262,Anchorage,US,2022-04-18 04:19:55,61.2181,-149.9003,44.64,62,0,4.61
263,Pacific Grove,US,2022-04-18 04:23:32,36.6177,-121.9166,51.48,82,0,6.91
264,Tautira,PF,2022-04-18 04:24:52,-17.7333,-149.15,80.46,75,30,9.17
265,Takaka,NZ,2022-04-18 04:24:52,-40.85,172.8,62.56,60,63,4.23
266,Wilmington,US,2022-04-18 04:23:22,34.2257,-77.9447,60.85,69,75,13.8
267,Malaryta,BY,2022-04-18 04:24:52,51.7905,24.074,28.15,77,42,5.3
268,Guerrero Negro,MX,2022-04-18 04:24:53,27.9769,-114.0611,59.04,87,57,14.97
269,Shache,CN,2022-04-18 04:24:53,38.4167,77.2406,66.34,13,2,4.45
270,Vao,NC,2022-04-18 04:24:53,-22.6667,167.4833,77.16,69,55,5.06
271,Red Bluff,US,2022-04-18 04:22:11,40.1785,-122.2358,63.28,41,0,8.05
272,Saint-Georges,GD,2022-04-18 04:24:54,12.0564,-61.7485,80.28,78,20,13.8
273,Cavalcante,BR,2022-04-18 04:24:54,-13.7975,-47.4583,67.66,89,72,4.61
274,Marawi,PH,2022-04-18 04:24:54,7.9986,124.2928,80.42,67,93,6.33
275,Kloulklubed,PW,2022-04-18 04:25:55,7.0419,134.2556,82.9,72,100,4.34
276,Opuwo,NA,2022-04-18 04:25:55,-18.0607,13.84,67.66,40,45,5.28
277,Saguday,PH,2022-04-18 04:25:55,16.5428,121.5638,85.55,63,44,4.12
278,Atar,MR,2022-04-18 04:25:55,20.5169,-13.0499,81.75,14,100,5.3
279,Khanpur,PK,2022-04-18 04:25:56,28.6453,70.6567,95.07,24,83,12.95
280,Konya,TR,2022-04-18 04:25:56,38.1667,32.5,58.48,35,2,18.39
281,Shubarshi,KZ,2022-04-18 04:25:56,48.5872,57.1869,57.54,53,1,4.88
282,Boca Do Acre,BR,2022-04-18 04:25:57,-8.7522,-67.3978,72.09,97,92,3.22
283,Tutoia,BR,2022-04-18 04:25:57,-2.7619,-42.2744,76.8,90,96,5.26
284,Tual,ID,2022-04-18 04:25:57,-5.6667,132.75,83.89,73,98,6.53
285,Saldanha,ZA,2022-04-18 04:25:58,-33.0117,17.9442,53.65,71,71,8.75
286,Simpang,ID,2022-04-18 04:25:58,-1.2667,104.0833,90.25,60,89,1.77
287,Pietarsaari,FI,2022-04-18 04:25:58,63.65,22.6833,33.01,96,81,4.81
288,Chuy,UY,2022-04-18 04:25:59,-33.6971,-53.4616,61.21,86,100,6.17
289,Sakakah,SA,2022-04-18 04:25:59,29.9697,40.2064,67.57,14,10,6.53
290,Talnakh,RU,2022-04-18 04:25:59,69.4865,88.3972,7.21,90,100,5.41
291,Lewisporte,CA,2022-04-18 04:25:59,49.2499,-55.0482,44.31,81,66,15.26
292,Nanortalik,GL,2022-04-18 04:26:00,60.1432,-45.2371,28.92,89,41,9.48
293,Cayenne,GF,2022-04-18 04:26:00,4.9333,-52.3333,81.09,1,20,7.0
294,Muisne,EC,2022-04-18 04:26:00,0.6,-80.0333,75.54,84,85,6.06
